Customer_ID,Product,Predicted_Likelihood
CUS000007,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000007,100g,1.0
CUS000007,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000007,128 Birds Layer Cages (Premium,1.0
CUS000007,1L,1.0
CUS000007,2 Packs Of Supergene Sprouted Seeds (Pack Of 500) + 500 Pieces Of Nursery Bags,1.0
CUS000007,2 males [800g],1.0
CUS000007,2 t/hr Manure dryer,1.0
CUS000008,"""KAAS-TOLTRA 250",1.0
CUS000008,000 Seeds,1.0
CUS000008,000 Seeds - 10 bags and above,1.0
CUS000008,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000008,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000008,10-12cm (Jumbo),1.0
CUS000008,1000 Layers Business Plan (2022 Edition),1.0
CUS000008,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000008,100g,1.0
CUS000008,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000009,"""KAAS-TOLTRA 250",1.0
CUS000009,000 Seeds - 10 bags and above,1.0
CUS000009,000 Seeds - Below 10 bags,1.0
CUS000009,000),1.0
CUS000009,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000009,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000009,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000009,100g,1.0
CUS000009,128 Birds Layer Cages (Premium,1.0
CUS000009,13hp and 17hp) - 7hp,1.0
CUS000010,000 Seeds - Below 10 bags,1.0
CUS000010,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000010,1000 Layers Business Plan (2022 Edition),1.0
CUS000010,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000010,120 Eggs Incubator,1.0
CUS000010,128 Birds Layer Cages (Premium,1.0
CUS000010,13hp and 17hp) - 7hp,1.0
CUS000010,1L,1.0
CUS000010,2 inches wide (Black/Blue),1.0
CUS000010,2-4cm (Fingerlings),1.0
CUS000011,"""KAAS-TOLTRA 250",1.0
CUS000011,000 Seeds,1.0
CUS000011,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000011,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000011,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000011,10-12cm (Jumbo),1.0
CUS000011,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000011,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000011,120 Eggs Incubator,1.0
CUS000011,150kg Spring Scale,1.0
CUS000012,000 Seeds,1.0
CUS000012,000 Seeds - 10 bags and above,1.0
CUS000012,000 Seeds - Below 10 bags,1.0
CUS000012,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000012,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000012,1000 Layers Business Plan (2022 Edition),1.0
CUS000012,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000012,120 Eggs Incubator,1.0
CUS000012,2 inches wide (Black/Blue),1.0
CUS000012,2 males [800g],1.0
CUS000013,"""KAAS-TOLTRA 250",1.0
CUS000013,(Organic Fertilizer and Soil Conditioner,1.0
CUS000013,000 Seeds,1.0
CUS000013,000 Seeds - 10 bags and above,1.0
CUS000013,000 Seeds - Below 10 bags,1.0
CUS000013,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000013,10-12cm (Jumbo),1.0
CUS000013,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000013,13hp and 17hp) - 7hp,1.0
CUS000013,150kg Spring Scale,1.0
CUS000014,000 Seeds,1.0
CUS000014,000 Seeds - 10 bags and above,1.0
CUS000014,000 Seeds - Below 10 bags,1.0
CUS000014,000),1.0
CUS000014,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000014,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000014,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000014,10-12cm (Jumbo),1.0
CUS000014,1000 Layers Business Plan (2022 Edition),1.0
CUS000014,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000015,(Organic Fertilizer and Soil Conditioner,1.0
CUS000015,000 Seeds,1.0
CUS000015,000 Seeds - 10 bags and above,1.0
CUS000015,000 Seeds - Below 10 bags,1.0
CUS000015,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000015,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000015,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000015,120 Eggs Incubator,1.0
CUS000015,120 capacity,1.0
CUS000015,128 Birds Layer Cages (Premium,1.0
CUS000016,(Organic Fertilizer and Soil Conditioner,1.0
CUS000016,000 Seeds,1.0
CUS000016,000 Seeds - 10 bags and above,1.0
CUS000016,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000016,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000016,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000016,120 Eggs Incubator,1.0
CUS000016,1L,1.0
CUS000016,20kg Weighing Scale,1.0
CUS000016,256 Eggs Incubator,1.0
CUS000017,000 Seeds - 10 bags and above,1.0
CUS000017,000 Seeds - Below 10 bags,1.0
CUS000017,000),1.0
CUS000017,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000017,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000017,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000017,10-12cm (Jumbo),1.0
CUS000017,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000017,120 Eggs Incubator,1.0
CUS000017,13hp and 17hp) - 7hp,1.0
CUS000018,(Organic Fertilizer and Soil Conditioner,1.0
CUS000018,000 Seeds,1.0
CUS000018,000),1.0
CUS000018,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000018,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000018,10,1.0
CUS000018,10-12cm (Jumbo),1.0
CUS000018,1000 Layers Business Plan (2022 Edition),1.0
CUS000018,100g,1.0
CUS000018,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000019,"""KAAS-TOLTRA 250",1.0
CUS000019,000 Seeds,1.0
CUS000019,000 Seeds - 10 bags and above,1.0
CUS000019,000 Seeds - Below 10 bags,1.0
CUS000019,000),1.0
CUS000019,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000019,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000019,10,1.0
CUS000019,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000019,100g,1.0
CUS000020,(Organic Fertilizer and Soil Conditioner,1.0
CUS000020,000 Seeds - 10 bags and above,1.0
CUS000020,000 Seeds - Below 10 bags,1.0
CUS000020,10-12cm (Jumbo),1.0
CUS000020,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000020,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000020,120 capacity,1.0
CUS000020,13hp and 17hp) - 7hp,1.0
CUS000020,16L Hand Sprayer - Magic Farms Logo Brand,1.0
CUS000020,2 males [800g],1.0
CUS000021,(Organic Fertilizer and Soil Conditioner,1.0
CUS000021,000 Seeds,1.0
CUS000021,000 Seeds - 10 bags and above,1.0
CUS000021,000 Seeds - Below 10 bags,1.0
CUS000021,000),1.0
CUS000021,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000021,10,1.0
CUS000021,1000 Layers Business Plan (2022 Edition),1.0
CUS000021,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000021,100g,1.0
CUS000022,(Organic Fertilizer and Soil Conditioner,1.0
CUS000022,000 Seeds,1.0
CUS000022,000 Seeds - 10 bags and above,1.0
CUS000022,000 Seeds - Below 10 bags,1.0
CUS000022,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000022,10,1.0
CUS000022,10-12cm (Jumbo),1.0
CUS000022,100g,1.0
CUS000022,120 Eggs Incubator,1.0
CUS000022,13hp and 17hp) - 7hp,1.0
CUS000023,"""KAAS-TOLTRA 250",1.0
CUS000023,(Organic Fertilizer and Soil Conditioner,1.0
CUS000023,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000023,10-12cm (Jumbo),1.0
CUS000023,1000 Layers Business Plan (2022 Edition),1.0
CUS000023,100g,1.0
CUS000023,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000023,120 Eggs Incubator,1.0
CUS000023,128 Birds Layer Cages (Premium,1.0
CUS000023,2 Packs Of Supergene Sprouted Seeds (Pack Of 500) + 500 Pieces Of Nursery Bags,1.0
CUS000024,"""KAAS-TOLTRA 250",1.0
CUS000024,000 Seeds,1.0
CUS000024,000 Seeds - 10 bags and above,1.0
CUS000024,000 Seeds - Below 10 bags,1.0
CUS000024,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000024,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000024,10,1.0
CUS000024,10-12cm (Jumbo),1.0
CUS000024,1000 Layers Business Plan (2022 Edition),1.0
CUS000024,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000025,(Organic Fertilizer and Soil Conditioner,1.0
CUS000025,000 Seeds,1.0
CUS000025,000 Seeds - Below 10 bags,1.0
CUS000025,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000025,1000 Layers Business Plan (2022 Edition),1.0
CUS000025,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000025,100g,1.0
CUS000025,150kg Spring Scale,1.0
CUS000025,1L,1.0
CUS000025,256 Eggs Incubator,1.0
CUS000026,(Organic Fertilizer and Soil Conditioner,1.0
CUS000026,000 Seeds,1.0
CUS000026,000 Seeds - Below 10 bags,1.0
CUS000026,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000026,1000 Layers Business Plan (2022 Edition),1.0
CUS000026,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000026,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000026,120 Eggs Incubator,1.0
CUS000026,128 Birds Layer Cages (Premium,1.0
CUS000026,13hp and 17hp) - 7hp,1.0
CUS000027,(Organic Fertilizer and Soil Conditioner,1.0
CUS000027,000 Seeds - 10 bags and above,1.0
CUS000027,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000027,1000 Layers Business Plan (2022 Edition),1.0
CUS000027,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000027,128 Birds Layer Cages (Premium,1.0
CUS000027,13hp and 17hp) - 7hp,1.0
CUS000027,16L Hand Sprayer - Magic Farms Logo Brand,1.0
CUS000027,1L,1.0
CUS000027,2 males [800g],1.0
CUS000028,000 Seeds,1.0
CUS000028,000 Seeds - 10 bags and above,1.0
CUS000028,000 Seeds - Below 10 bags,1.0
CUS000028,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000028,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000028,10-12cm (Jumbo),1.0
CUS000028,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000028,100g,1.0
CUS000028,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000028,13hp and 17hp) - 7hp,1.0
CUS000029,"""KAAS-TOLTRA 250",1.0
CUS000029,000 Seeds,1.0
CUS000029,000),1.0
CUS000029,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000029,100g,1.0
CUS000029,120 Eggs Incubator,1.0
CUS000029,120 capacity,1.0
CUS000029,150kg Spring Scale,1.0
CUS000029,16L Hand Sprayer - Magic Farms Logo Brand,1.0
CUS000029,1L,1.0
CUS000030,"""KAAS-TOLTRA 250",1.0
CUS000030,(Organic Fertilizer and Soil Conditioner,1.0
CUS000030,000 Seeds,1.0
CUS000030,000 Seeds - 10 bags and above,1.0
CUS000030,000),1.0
CUS000030,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000030,1L,1.0
CUS000030,2 Packs Of Supergene Sprouted Seeds (Pack Of 500) + 500 Pieces Of Nursery Bags,1.0
CUS000030,20kg Weighing Scale,1.0
CUS000030,4 Stroke Brushcutter Sprayer with 50 Meters Hose,1.0
CUS000031,"""KAAS-TOLTRA 250",1.0
CUS000031,(Organic Fertilizer and Soil Conditioner,1.0
CUS000031,000 Seeds,1.0
CUS000031,000 Seeds - 10 bags and above,1.0
CUS000031,000),1.0
CUS000031,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000031,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000031,10,1.0
CUS000031,10-12cm (Jumbo),1.0
CUS000031,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000032,"""KAAS-TOLTRA 250",1.0
CUS000032,(Organic Fertilizer and Soil Conditioner,1.0
CUS000032,000 Seeds,1.0
CUS000032,000 Seeds - 10 bags and above,1.0
CUS000032,000 Seeds - Below 10 bags,1.0
CUS000032,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000032,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000032,150kg Spring Scale,1.0
CUS000032,1L,1.0
CUS000032,2 Packs Of Supergene Sprouted Seeds (Pack Of 500) + 500 Pieces Of Nursery Bags,1.0
CUS000033,"""KAAS-TOLTRA 250",1.0
CUS000033,000 Seeds,1.0
CUS000033,000 Seeds - Below 10 bags,1.0
CUS000033,000),1.0
CUS000033,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000033,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000033,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000033,10,1.0
CUS000033,10-12cm (Jumbo),1.0
CUS000033,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000034,000 Seeds - 10 bags and above,1.0
CUS000034,000 Seeds - Below 10 bags,1.0
CUS000034,000),1.0
CUS000034,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000034,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000034,10-12cm (Jumbo),1.0
CUS000034,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000034,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000034,120 capacity,1.0
CUS000034,150kg Spring Scale,1.0
CUS000035,(Organic Fertilizer and Soil Conditioner,1.0
CUS000035,000 Seeds - 10 bags and above,1.0
CUS000035,000 Seeds - Below 10 bags,1.0
CUS000035,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000035,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000035,10-12cm (Jumbo),1.0
CUS000035,1000 Layers Business Plan (2022 Edition),1.0
CUS000035,13hp and 17hp) - 7hp,1.0
CUS000035,16L Hand Sprayer - Magic Farms Logo Brand,1.0
CUS000035,2 inches wide (Black/Blue),1.0
CUS000036,(Organic Fertilizer and Soil Conditioner,1.0
CUS000036,000 Seeds,1.0
CUS000036,000 Seeds - Below 10 bags,1.0
CUS000036,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000036,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000036,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000036,100g,1.0
CUS000036,2 t/hr Manure dryer,1.0
CUS000036,20kg Weighing Scale,1.0
CUS000036,256 Eggs Incubator,1.0
CUS000037,(Organic Fertilizer and Soil Conditioner,1.0
CUS000037,000 Seeds,1.0
CUS000037,000 Seeds - 10 bags and above,1.0
CUS000037,000 Seeds - Below 10 bags,1.0
CUS000037,000),1.0
CUS000037,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000037,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000037,10,1.0
CUS000037,10-12cm (Jumbo),1.0
CUS000037,1000 Layers Business Plan (2022 Edition),1.0
CUS000038,000 Seeds,1.0
CUS000038,000 Seeds - 10 bags and above,1.0
CUS000038,000 Seeds - Below 10 bags,1.0
CUS000038,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000038,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000038,10,1.0
CUS000038,1000 Layers Business Plan (2022 Edition),1.0
CUS000038,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000038,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000038,120 Eggs Incubator,1.0
CUS000039,(Organic Fertilizer and Soil Conditioner,1.0
CUS000039,000 Seeds - 10 bags and above,1.0
CUS000039,000 Seeds - Below 10 bags,1.0
CUS000039,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000039,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000039,10-12cm (Jumbo),1.0
CUS000039,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000039,100g,1.0
CUS000039,13hp and 17hp) - 7hp,1.0
CUS000039,150kg Spring Scale,1.0
CUS000040,"""KAAS-TOLTRA 250",1.0
CUS000040,000 Seeds - 10 bags and above,1.0
CUS000040,000),1.0
CUS000040,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000040,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000040,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000040,100g,1.0
CUS000040,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000040,120 capacity,1.0
CUS000040,128 Birds Layer Cages (Premium,1.0
CUS000041,"""KAAS-TOLTRA 250",1.0
CUS000041,(Organic Fertilizer and Soil Conditioner,1.0
CUS000041,000 Seeds,1.0
CUS000041,000 Seeds - Below 10 bags,1.0
CUS000041,000),1.0
CUS000041,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000041,10-12cm (Jumbo),1.0
CUS000041,1000 Layers Business Plan (2022 Edition),1.0
CUS000041,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000041,100g,1.0
CUS000043,"""KAAS-TOLTRA 250",1.0
CUS000043,000 Seeds,1.0
CUS000043,000 Seeds - 10 bags and above,1.0
CUS000043,000),1.0
CUS000043,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000043,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000043,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000043,100g,1.0
CUS000043,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000043,120 Eggs Incubator,1.0
CUS000044,"""KAAS-TOLTRA 250",1.0
CUS000044,(Organic Fertilizer and Soil Conditioner,1.0
CUS000044,000),1.0
CUS000044,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000044,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000044,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000044,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000044,120 capacity,1.0
CUS000044,13hp and 17hp) - 7hp,1.0
CUS000044,150kg Spring Scale,1.0
CUS000045,"""KAAS-TOLTRA 250",1.0
CUS000045,(Organic Fertilizer and Soil Conditioner,1.0
CUS000045,000),1.0
CUS000045,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000045,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000045,120 capacity,1.0
CUS000045,150kg Spring Scale,1.0
CUS000045,1L,1.0
CUS000045,2 Packs Of Supergene Sprouted Seeds (Pack Of 500) + 500 Pieces Of Nursery Bags,1.0
CUS000045,2 t/hr Manure dryer,1.0
CUS000046,000 Seeds - Below 10 bags,1.0
CUS000046,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000046,10,1.0
CUS000046,10-12cm (Jumbo),1.0
CUS000046,1000 Layers Business Plan (2022 Edition),1.0
CUS000046,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000046,128 Birds Layer Cages (Premium,1.0
CUS000046,1L,1.0
CUS000046,2 Packs Of Supergene Sprouted Seeds (Pack Of 500) + 500 Pieces Of Nursery Bags,1.0
CUS000046,2-4cm (Fingerlings),1.0
CUS000047,"""KAAS-TOLTRA 250",1.0
CUS000047,(Organic Fertilizer and Soil Conditioner,1.0
CUS000047,000 Seeds,1.0
CUS000047,000 Seeds - 10 bags and above,1.0
CUS000047,000),1.0
CUS000047,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000047,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000047,10,1.0
CUS000047,10-12cm (Jumbo),1.0
CUS000047,1000 Layers Business Plan (2022 Edition),1.0
CUS000048,"""KAAS-TOLTRA 250",1.0
CUS000048,(Organic Fertilizer and Soil Conditioner,1.0
CUS000048,000 Seeds,1.0
CUS000048,000 Seeds - 10 bags and above,1.0
CUS000048,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000048,10-12cm (Jumbo),1.0
CUS000048,1000 Layers Business Plan (2022 Edition),1.0
CUS000048,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000048,1056 Eggs Capacity Incubators (Electric Powered-500W),1.0
CUS000048,120 capacity,1.0
CUS000049,"""KAAS-TOLTRA 250",1.0
CUS000049,(Organic Fertilizer and Soil Conditioner,1.0
CUS000049,000) - gas-brooder-htc-digital-thermometer,1.0
CUS000049,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000049,1000 Layers Business Plan (2022 Edition),1.0
CUS000049,1000kg Digital Floor Weighing Scale (A12E-Camry Brand),1.0
CUS000049,13hp and 17hp) - 7hp,1.0
CUS000049,16L Hand Sprayer - Magic Farms Logo Brand,1.0
CUS000049,1L,1.0
CUS000049,2 t/hr Manure dryer,1.0
CUS000050,000),1.0
CUS000050,000) - brooder-guard-gas-brooder-htc-digital-thermometer-biovitastress,1.0
CUS000050,080 Chicken Egg Capacity KGE Incubator Powered by Kerosene/Gas/Electricity/Solar Power - 120M96 Model - Incubator+Candling machine+Solar arrangement,1.0
CUS000050,10,1.0
