Customer_ID,Recency,Avg_Order_Value,Customer_Lifetime_Days,Purchase_Rate,Total_Items_Sold,Product_Purchased,
CUS_TEST_0042,278,211.56,152,0.029,27, Agrited Broilers,
CUS_TEST_0043,1,5,2,0.002,1, Foreign Turkey Poults - 30Pcs Per Carton (Full Carton ,
CUS_TEST_0044,69,322.6,728,0.062,87, Darina Cucumber seeds ,
CUS_TEST_0045,165,418.49,994,0.066,74, Darina Cucumber seeds ,
CUS_TEST_0046,305,254.72,1505,0.015,42, Afrimash Broiler ,
CUS_TEST_0047,162,272.16,690,0.071,52, AMO Broiler Chicks ,
CUS_TEST_0048,342,2,1157,0.173,25, Afrimash Broiler ,
CUS_TEST_0049,128463,4,2,0.047,2, Afrimash Broiler ,
CUS_TEST_0050,343,215.5,1515,0.139,67, Afrimash Broiler ,
CUS_TEST_0051,42,255.04,1796,0.126,6, AMO Noilers (Commercial Dual-Purpose Day Old Chicks),
CUS_TEST_0052,354,394.7,1771,0.173,58, AMO Noilers (Commercial Dual-Purpose Day Old Chicks),
CUS_TEST_0053,109,303.43,739,0.027,70, Darina Cucumber seeds ,
CUS_TEST_0054,51,108.54,425,0.196,53, Chikun Broilers (Day-Old Cobb 500 ,
CUS_TEST_0055,0,0,0,0,0, Indian Type Bell Drinker (For Poultry ,
CUS_TEST_0056,341,209.74,1390,0.199,58, Earth Augers (1.4kW ,
CUS_TEST_0057,21,240.07,1034,0.182,82, The Secrets of Starting and Growing A successful Poultry Farm (341 Pages) - 2020 Edition,
CUS_TEST_0058,300,23.87,1652,0.045,87, Day Old Yammfy Broilers (Commercial Arbor Acres),
CUS_TEST_0059,139,112.91,1195,0.012,2, Your Complete Guide to Organic Poultry Farming (72 PAGES ,
CUS_TEST_0060,359,147.71,346,0.052,76, The Secrets of Starting and Growing A successful Poultry Farm (341 Pages) - 2020 Edition,
CUS_TEST_0061,324,359.35,1764,0.106,22, Lemon Seedlings ,
CUS_TEST_0062,2,1,1,0,1, Vertex Broiler ,
CUS_TEST_0063,280,210.3,5,0.034,20, Beginners Guide To Broiler Farming (184 Pages) - E-Book,
CUS_TEST_0064,125,462.77,5,0.093,24, Vertex Broiler ,
CUS_TEST_0065,111,64.82,5,0.008,84, Commercial Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0066,354,263.05,5,0.025,65, Agrited Ross 308 Broilers (Commercial Day-old Chicks),
CUS_TEST_0067,139,395.4,5,0.084,65, Vertex Broiler ,
CUS_TEST_0068,273,471.84,1363,0.014,81, Commercial Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0069,1,5,2,0.002,1, Electric Hand Debeaker (220V/150W),
CUS_TEST_0070,252,363.08,585,0.095,94, Poultry Drinking Water Line Pipe Cleaning Tool,
CUS_TEST_0071,338,414.98,639,0.091,3, Crownceryl Antibiotic {100g},
CUS_TEST_0072,1,5,2,0.002,1, Commercial Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0073,214,404.86,138,0.106,55, Commercial Day Old Arbor Acres Plus Broilers Chicks (Grinphield Brand),
CUS_TEST_0074,249,13.9,1848,0.094,75, Farm Support Pullets (Day-Old ISA Brown Pullets),
CUS_TEST_0075,3,4,401,0.083,2, Amo Broiler ,
CUS_TEST_0076,250,227.22,884,0.164,86, Bronze Level Membership,
CUS_TEST_0077,275,281.16,645,0.179,64, Bronze Level Membership,
CUS_TEST_0078,165,134.89,797,0.171,45, Day-Old Pullets (Zartech),
CUS_TEST_0079,1,1,2,0.8,26, Agrited Broilers - One Carton,
CUS_TEST_0080,8,47.55,235,0.028,77, Day-Old Chikun Pullets (Olam Brand ,
CUS_TEST_0081,465835,437.59,876,0.056,65, Day-Old Chikun Pullets (Olam Brand ,
CUS_TEST_0082,1,0,0,0,1, Commercial Day Old Marshall Broilers Chicks (Grinphield Brand),
CUS_TEST_0083,145,115.87,894,0.186,74, Day-Old Marshall Broilers (Grinphield),
CUS_TEST_0084,101,406.57,1298,0.132,35, Egg Incubator ( 64 ,
CUS_TEST_0085,164,395.32,1340,0.15,24, Lagon Plant Herbicide ,
CUS_TEST_0086,147,319.79,1408,0.063,28, Day-Old ZARTECH Broilers (Cobb 500) - Half Carton,
CUS_TEST_0087,5,3,4,0.169,3, Your Complete Guide to Organic Poultry Farming (72 PAGES ,
CUS_TEST_0088,91,143.03,505,0.053,16, Day-Old ZARTECH Broilers (Cobb 500) - One Carton,
CUS_TEST_0089,117,123.57,112,0.001,59, Agrited Broilers - Half Carton,
CUS_TEST_0090,354,166.12,1163,0.076,81, Day-Old ZARTECH Broilers (Cobb 500) - One Carton,
CUS_TEST_0091,1,5,2,0.002,1, AMO Noilers (Day-Old Chicks),
CUS_TEST_0092,310,48.04,829,0.096,79, AMO Noilers (Day-Old Chicks),
CUS_TEST_0093,2,0,0,0,1, Commercial Day Old Arbor Acres Plus Broilers Chicks (Grinphield Brand),
CUS_TEST_0094,47,180.96,1962,0.022,15, Day-Old Black Pullets (2 weeks Pre-Order),
CUS_TEST_0095,1,5,2,0.002,1, Commercial Day Old Marshall Broilers Chicks (Grinphield Brand),
CUS_TEST_0096,246,399.3,1777,0.103,11, Day-Old Black Pullets (2 weeks Pre-Order),
CUS_TEST_0097,149,443.34,320,0.057,65, Commercial Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0098,246,178.94,1698,0.165,79, Commercial Day Old Arbor Acres Plus Broilers Chicks (Grinphield Brand),
CUS_TEST_0099,5,236.3,1254,0.151,90, Commercial Day Old Marshall Broilers Chicks (Grinphield Brand),
CUS_TEST_0100,184,213.11,1850,0.147,68, Commercial Day Old Arbor Acres Plus Broilers Chicks (Grinphield Brand),
CUS_TEST_0101,20,16.49,355,0.175,43, Commercial Day Old Marshall Broilers Chicks (Grinphield Brand),
CUS_TEST_0102,46,155.01,1564,0.145,69, Vertex Broiler ,
CUS_TEST_0103,12,235,1462,0.047,99, Vertex Broiler ,
CUS_TEST_0104,70,211.44,1660,0.141,13, AMO Noilers (Day-Old Chicks),
CUS_TEST_0105,1,5,2,0.002,1, Day Old AMO Broilers (Commercial Arbor Acres Plus),
CUS_TEST_0106,147,198.55,1994,0.049,75, Hyline Brown AGRITED Day-Old Pullets,
CUS_TEST_0107,154,249.79,866,0.016,82, Agrited Broiler ,
CUS_TEST_0108,1,5,2,0.002,1, Agrited Broiler ,
CUS_TEST_0109,108,372.91,760,0.142,41, Agrited Broilers - One Carton,
CUS_TEST_0110,1,0,0,0,1, Agrited Broilers - One Carton,
CUS_TEST_0111,308,270.63,101,0.15,87, Agrited Ross 308 Broilers (Commercial Day-old Chicks),
CUS_TEST_0112,352,396.82,1300,0.184,71, Monensin + Vitamin E - Feed Grade Anticoccidial Premix for Poultry - Monensin + Vitamin E 25kg,
CUS_TEST_0113,70,155.43,670,0.022,59, Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0114,2,4,5,0.047,2, Vertex Broiler ,
CUS_TEST_0115,250,179.16,969,0.15,3, Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0116,3,0,0,0,1, Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0117,102,368.88,637,0.125,7, Commercial Day-Old Pullets (ISA Brown ,
CUS_TEST_0118,75,442.01,1640,0.017,49, Day Old Broilers (CASCADA Arbor Acres Broiler),
CUS_TEST_0119,3,4,5,0.091,5, Vertex Broiler ,
CUS_TEST_0120,203,320.97,595,0.148,33, Commercial Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0121,192,295.25,1397,0.138,48, Vertex Broiler ,
CUS_TEST_0122,2,0,0,0,1, Vertex Broiler ,
CUS_TEST_0123,242,113.83,83,0.176,2, Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0124,179,162.39,1783,0.155,71, Vertex Broiler ,
CUS_TEST_0125,219,91.8,557,0.135,32, Farm Support Broilers (Commercial Day-Old Arbor Acres Plus),
CUS_TEST_0126,3,2,640,0.007,4, Commercial Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0127,1,5,2,0.002,1, Farm Support Broilers (Commercial Day-Old Arbor Acres Plus),
CUS_TEST_0128,175,174.48,1611,0.009,36, Agrited Broiler ,
CUS_TEST_0129,239,377.2,222,0.162,32, Poultry Management For First-Timers (E-Book),
CUS_TEST_0130,1,0,0,0,1, Hi-Mix Fish Premix (5kg),
CUS_TEST_0131,163,493.26,87,0.113,77, Commercial SAYED Broilers (Day-Old Chicks),
CUS_TEST_0132,1,5,2,0.002,1, Commercial SAYED Broilers (Day-Old Chicks),
CUS_TEST_0133,329,379.39,1164,0.157,60, Day-Old FIDAN Broilers (Arbor Acres Plus),
CUS_TEST_0134,328,437.02,158,0.177,56, Commercial SAYED Broilers (Day-Old Chicks),
CUS_TEST_0135,116,342.7,1902,0.08,35, Fidan Broiler ,
CUS_TEST_0136,337,211.81,735,0.173,30, Farm Support Broilers (Commercial Day-Old Arbor Acres Plus),
CUS_TEST_0137,337,379.26,1978,0.054,54, Fidan Broiler ,
CUS_TEST_0138,225,109.8,881,0.107,36, Vaccination Program-The Complete Guide For Different Breeds of Poultry (E-Book),
CUS_TEST_0139,352,170.5,1379,0.172,55, Amo Broiler ,
CUS_TEST_0140,328,277.88,37,0.066,89, Livestock Ear Tag (For Cattle,
CUS_TEST_0141,147,291.95,58,0.191,80, AMO Noilers (Day-Old Chicks),
CUS_TEST_0142,63,20.85,1165,0.025,58, Farm Support Broilers (Commercial Day-Old Arbor Acres Plus),
CUS_TEST_0143,294,473.11,976,0.005,83, Day Old Broilers (CASCADA Arbor Acres Broiler),
CUS_TEST_0144,323,351.35,1726,0.181,65, AMO Broilers (Commercial Arbor Acres Plus),
CUS_TEST_0145,325,252.89,160,0.015,69, Commercial Day Old Marshall Broilers Chicks (Grinphield Brand),
CUS_TEST_0146,3,4,217,0.198,1, Amo Broiler ,
CUS_TEST_0147,1,5,2,0.002,1, Commercial SAYED Broilers (Day-Old Chicks),
CUS_TEST_0148,287,490.41,738,0.028,88, Platinum 701 F1 Tomato Seeds (East West Seed ,
CUS_TEST_0149,208,261.02,1528,0.108,53, Your Complete Guide to Organic Poultry Farming (72 PAGES ,
CUS_TEST_0150,114,66,1417,0.038,36, Commercial Day Old White Cockerel Chicks,
CUS_TEST_0151,22,384.75,1257,0.086,68, A Simple Guide to Raising Local/Indigenous Chickens for Household and Commercial Purposes (2019 Edition),
CUS_TEST_0152,349,342.66,241,0.013,36, Gas Brooder with Infrared Functions(1000 ,
CUS_TEST_0153,214,388.76,1674,0.046,52, Day Old Broilers (CASCADA Arbor Acres Broiler),
CUS_TEST_0154,171,476.21,305,0.073,53, Day Old CHI Arbor Acre Broilers - Carton of 50 Chicks,
CUS_TEST_0155,323,390.48,1126,0.088,82, Day Old CHI Arbor Acre Broilers - Carton of 50 Chicks,
CUS_TEST_0156,54,309.55,1732,0.196,50, Day Old CHI Arbor Acre Broilers - Carton of 50 Chicks,
CUS_TEST_0157,298,430.08,1825,0.162,80, CHI Broiler ,
CUS_TEST_0158,320,339.89,272,0.148,41, Numbered Ear Tag (For Cattle,
CUS_TEST_0159,126,209.98,1840,0.108,18, Gas Brooder with Infrared Functions (1000 Chicks Capacity) (PROMO) - 1000 birds,
CUS_TEST_0160,277,443.95,1155,0.168,22, Giant Hybrid Cocoa Pod,
CUS_TEST_0161,204,118.73,1016,0.069,66, Commercial Day-Old Arbor Acres Plus (FIDAN Broilers),
CUS_TEST_0162,13533,360.17,714,0.142,21, Day-Old FIDAN Broilers (Arbor Acres Plus),
CUS_TEST_0163,169,441.97,200,0.199,44, AMO Noilers (Day-Old Chicks),
CUS_TEST_0164,152,368.35,682,0.064,47, Fidan Broiler ,
CUS_TEST_0165,35,351.66,1962,0.135,39, Fidan Broiler ,
CUS_TEST_0166,184,378.79,217,0.169,29, Fidan Broiler ,
CUS_TEST_0167,387535,237.88,1494,0.183,54, Commercial Day-Old Arbor Acres Plus (FIDAN Broilers),
CUS_TEST_0168,57,438.34,1139,0.144,90, Commercial Day-Old Arbor Acres Plus (FIDAN Broilers),
CUS_TEST_0169,222,109.68,1529,0.057,85, Agrited Broilers - One Carton,
CUS_TEST_0170,303,72.42,81,0.066,17, Day-Old FIDAN Broilers (Arbor Acres Plus),
CUS_TEST_0171,163,149.9,140,0.005,80, 5 in 1 PH Meter,
CUS_TEST_0172,19,270.47,906,0.152,60, Digital Hanging Scale ,
CUS_TEST_0173,264,260.18,1907,0.01,31, AMO Noilers (Day-Old Chicks),
CUS_TEST_0174,282,412.09,1096,0.173,73, AMO Noilers (Commercial Dual-Purpose Day Old Chicks),
CUS_TEST_0175,1,5,2,0.002,1, Commercial Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0176,327,247.33,1253,0.035,78, Legume Force Herbicide ,
CUS_TEST_0177,30,16.55,1863,0.096,49, Day-Old FIDAN Broilers (Arbor Acres Plus),
CUS_TEST_0178,135,210.77,887,0.148,2, Day Old Broilers (CASCADA Arbor Acres Broiler),
CUS_TEST_0179,67,327.41,1805,0.029,48, Day-Old FIDAN Broilers (Arbor Acres Plus),
CUS_TEST_0180,65,17.6,656,0.089,14, Agrited Broilers - One Carton,
CUS_TEST_0181,292,147.63,1079,0.097,59, OFFER: Gas Brooder with Infrared Functions (1000 Capacity) + 1 FREE HTC thermometer (Expired),
CUS_TEST_0182,1,5,2,0.002,1, Commercial Day Old Arbor Acres Plus Broilers Chicks (Grinphield Brand),
CUS_TEST_0183,37,30.57,328,0.024,99, L-Lysine Sulphate - Feed Additive (25kg),
CUS_TEST_0184,1,244.84,1130,0.167,58, Diammonium Phosphate Fertilizer (DAP) ,
CUS_TEST_0185,37,99.04,953,0.101,58, Amo Broiler ,
CUS_TEST_0186,141,374.11,166,0.004,51, Commercial Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0187,232,425.48,1073,0.161,84, Poultry Management For First-Timers (E-Book),
CUS_TEST_0188,136,277.34,469,0.196,2, Bronze Level Membership,
CUS_TEST_0189,188,491.04,240,0.122,41, Bronze Level Membership,
CUS_TEST_0190,14252,230.73,781,0.101,83, Commercial SAYED Broilers (Day-Old Chicks),
CUS_TEST_0191,201,261.55,1604,0.176,82, Commercial SAYED Broilers (Day-Old Chicks),
CUS_TEST_0192,127,494.72,464,0.191,16, Grinphield Day-Old Marshall Broilers,
CUS_TEST_0193,257,123.46,809,0.151,4, AMO Noilers (Commercial Dual-Purpose Day Old Chicks),
CUS_TEST_0194,258238,471.85,1260,0.09,12, AMO Noilers (Commercial Dual-Purpose Day Old Chicks),
CUS_TEST_0195,35,30.99,468,0.119,29, Commercial Day Old Pullets - ISA Brown (Grinphield Brand ,
CUS_TEST_0196,194,228.73,1832,0.14,7, Day-Old AMO Pullets (ISA Brown ,
CUS_TEST_0197,191,44.3,695,0.04,14, Heteroclarias Spp Fingerlings/Post Fingerlings/Juveniles (Hybrid) -Special Maxi Brand -,
CUS_TEST_0198,104,367.33,1095,0.09,12, Day Old AMO Broilers (Commercial Arbor Acres Plus),
CUS_TEST_0199,23,308.12,440,0.166,99, AMO Broilers (Commercial Arbor Acres Plus),
CUS_TEST_0200,265,356.25,1576,0.131,5, AMO Noilers (Day-Old Chicks),
CUS_TEST_0201,290,193.5,835,0.083,81, Commercial Day-Old Pullets (ISA Brown) - Amo Brand,
CUS_TEST_0202,260,191.05,639,0.133,32, Agrited Broilers,
CUS_TEST_0203,358,32.21,456,0.025,74, Valentine Broilers Commercial Day Old Chicks (Ross 308),
CUS_TEST_0204,75,181.47,1328,0.081,43, Agrited Broilers,
CUS_TEST_0205,355,465.35,1501,0.159,81, Hyline Brown AGRITED Day-Old Pullets,
CUS_TEST_0206,72,195.82,931,0.045,69, Day Old White Cockerel,
CUS_TEST_0207,259,417.37,971,0.038,45, AMO Noilers (Commercial Dual-Purpose Day Old Chicks),
CUS_TEST_0208,188,422.74,1937,0.19,9, Day-Old Chikun Pullets (Olam Brand ,
CUS_TEST_0209,173,192.89,771,0.043,49, Grower Pig Feed (25kg ,
CUS_TEST_0210,290,319.67,1422,0.053,33, Automatic Injector/Continuous Syringe for Poultry,
CUS_TEST_0211,45,56.73,1991,0.194,18, Growers Mash (Hybrid Brand) - 25kg Bag,
CUS_TEST_0212,61,60.8,1273,0.147,9, Heteroclarias Spp Fingerlings/Post Fingerlings/Juveniles (Hybrid) -Special Maxi Brand - ,
CUS_TEST_0213,83,33.84,1630,0.14,62, Special Poultry Equipment (Combo),
CUS_TEST_0214,123,294.7,1920,0.171,57, Vigorlite (Multivitamin and Amino Acid Supplement) - 100 Sachets (Carton),
CUS_TEST_0215,24825,218.77,1285,0.024,29, Digital Temperature and Humidity Meter (with Clock) - HTC 1/2 Brand - htc-1-model,
CUS_TEST_0216,16,278.54,357,0.141,78, Growers Mash (Hybrid Brand) - 25kg Bag,
CUS_TEST_0217,66,265.33,1496,0.101,25, Day-Old AMO Pullets (ISA Brown ,
CUS_TEST_0218,145,181.6,81,0.166,15, Day-Old AMO Pullets (ISA Brown ,
CUS_TEST_0219,162,341.96,1939,0.102,6, Layers Mash (Hybrid Brand) – 25kg Bag,
CUS_TEST_0220,234,381.67,1996,0.124,42, Hybrid Feeds Layer Mash - 25kg Bag,
CUS_TEST_0221,144,17.17,405,0.096,29, Diva F1 Tomato Seeds (East West Seed ,
CUS_TEST_0222,358,111.55,292,0.096,79, Diva F1 Tomato Seeds (East West Seed ,
CUS_TEST_0223,1,5,2,0.002,1, Agrited Broilers,
CUS_TEST_0224,322,199.44,388,0.126,4, Agrited Ross 308 Broilers (Commercial Day-old Chicks),
CUS_TEST_0225,13,334.62,1370,0.127,82, Day-Old Pullets (Zartech),
CUS_TEST_0226,184,180.01,1377,0.091,57, Commercial Day Old Arbor Acres Plus Broilers Chicks (Grinphield Brand),
CUS_TEST_0227,111,201.47,1974,0.107,49, Agrited Broilers,
CUS_TEST_0228,290,87.75,1961,0.149,44, Agrited Broilers,
CUS_TEST_0229,295,136.53,1719,0.165,80, Agrited Broilers (Commercial Day-Old Ross 308),
CUS_TEST_0230,215,306.65,1923,0.14,75, Agrited Broiler ,
CUS_TEST_0231,423528,222.25,1931,0.185,14, Agrited Broilers,
CUS_TEST_0232,55,389.41,681,0.164,3, Day-Old Pullets (Zartech),
CUS_TEST_0233,27,427.77,1992,0.113,62, SAYED Broilers (Day-Old Chicks),
CUS_TEST_0234,118,275.41,1616,0.135,64, Commercial SAYED Broilers (Day-Old Chicks),
CUS_TEST_0235,2424,381.55,1682,0.185,45, Commercial Day Old Arbor Acres Plus Broilers Chicks (Grinphield Brand),
CUS_TEST_0236,231,160.38,1474,0.124,82, Agrited Broilers - One Carton,
CUS_TEST_0237,53,213.34,75,0.165,58, Heteroclarias Spp Fingerlings/Post Fingerlings/Juveniles (Hybrid) -Special Maxi Brand -,
CUS_TEST_0238,295,359.26,1874,0.138,20, Catfish Jumbo (Clarias spp ,
CUS_TEST_0239,321,199.24,629,0.111,58, Heteroclarias Hybrid Juveniles/Jumbo Juveniles - Jumbo Juveniles (Less than 5000 pieces),
CUS_TEST_0240,233,298.37,749,0.049,89, Organic Poultry Production Manual (Birds and Eggs Production-2020 Edition) - 57 Pages,
CUS_TEST_0241,158,100.83,1942,0.086,57, Commercial Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0242,269,303.89,1322,0.194,77, AMO Broiler Chicks ,
CUS_TEST_0243,21,432.14,630,0.132,68, Day Old AMO Broilers (Commercial Arbor Acres Plus),
CUS_TEST_0244,53,435.63,410,0.113,78, Agrited Broilers (Commercial Day-Old Ross 308),
CUS_TEST_0245,1,5,2,0.002,1, Day-Old FIDAN Broilers (Arbor Acres Plus),
CUS_TEST_0246,1,5,2,0.002,1, Agrited Broiler ,
CUS_TEST_0247,281,283.38,145,0.106,52, Vertex Broiler ,
CUS_TEST_0248,214,296.49,1683,0.152,37, Day Old CHI Arbor Acre Broilers - Carton of 50 Chicks,
CUS_TEST_0249,2582385,75.49,289,0.143,8, Vertex Broiler ,
CUS_TEST_0250,337,227.49,1128,0.039,44, Day Old CHI Arbor Acre Broilers - Carton of 50 Chicks,
CUS_TEST_0251,1,5,2,0.002,1, Agrited Broilers,
CUS_TEST_0252,23,479.66,334,0.095,5, Commercial Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0253,32,221.23,36,0.076,69, Day Old CHI Arbor Acre Broilers - Carton of 50 Chicks,
CUS_TEST_0254,74,279.18,395,0.104,31, Your Complete Guide to Organic Poultry Farming (72 PAGES ,
CUS_TEST_0255,10,271.29,1687,0.083,45, 120 capacity,
CUS_TEST_0256,54,322.01,552,0.041,9, Agrited Broilers (Commercial Day-Old Ross 308),
CUS_TEST_0257,52,376.63,1401,0.083,32, Agrited Ross 308 Broilers (Commercial Day-old Chicks),
CUS_TEST_0258,148,120.27,1491,0.015,33, PrimaLac Probiotics (100g),
CUS_TEST_0259,160,269.07,1268,0.116,67, Farm Support Broilers (Commercial Day-Old Arbor Acres Plus),
CUS_TEST_0260,14,414.7,458,0.171,30, Agrited Broilers,
CUS_TEST_0261,178,236.93,820,0.145,76, Agrited Broilers,
CUS_TEST_0262,53,146.44,1551,0.073,29, Farm Support Broilers (Commercial Day-Old Arbor Acres Plus),
CUS_TEST_0263,25258,330.81,1593,0.018,3, Farm Support Broilers (Commercial Day-Old Arbor Acres Plus),
CUS_TEST_0264,22,413.65,776,0.041,90, Buy High-Quality Plantain Suckers l Afrimash ,
CUS_TEST_0265,30,40.94,396,0.11,57, Metal Seed Planter - Chinese Model,
CUS_TEST_0266,191,390.63,342,0.042,30, Chainsaws (,
CUS_TEST_0267,260,412.61,567,0.109,9, Day-Old CHI Broilers ,
CUS_TEST_0268,205,236.15,950,0.047,26, Agrited Broilers,
CUS_TEST_0269,59,491.82,1107,0.17,2, Agrited Broiler ,
CUS_TEST_0270,264,395.49,1594,0.08,62, Agrited Broiler ,
CUS_TEST_0271,12,389.09,1520,0.05,3, Agrited Broiler ,
CUS_TEST_0272,119,376.44,894,0.163,46, Agrited Broiler ,
CUS_TEST_0273,290,83.8,1217,0.069,68, Agrited Broilers,
CUS_TEST_0274,338,116.44,811,0.023,25, Agrited Broilers,
CUS_TEST_0275,248,237.36,363,0.115,51, Agrited Broilers,
CUS_TEST_0276,354,139.36,1600,0.117,13, Agrited Broilers,
CUS_TEST_0277,127,213.47,827,0.143,44, Valentine Broilers Commercial Day Old Chicks (Ross 308),
CUS_TEST_0278,75,445.35,377,0.049,35, Commercial Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0279,361,413.92,302,0.089,55, Agrited Broilers - One Carton,
CUS_TEST_0280,204,318.72,992,0.057,87, Formulating Feeds: The Roles of 11 Essential Feed Ingredients (e-Book),
CUS_TEST_0281,49,430.48,749,0.017,9, Agrited Broilers - One Carton,
CUS_TEST_0282,79,394.05,1803,0.175,2, Afrimash Broiler ,
CUS_TEST_0283,241,220.2,1467,0.146,61, Agrited Broilers - One Carton,
CUS_TEST_0284,349,108.52,529,0.061,41, Gas Brooder with Infrared Functions (1000 and 2000 Chicks Capacity) - 1000 birds,
CUS_TEST_0285,154,261.96,1146,0.12,44, Day-Old CHI Broilers ,
CUS_TEST_0286,65735,370.75,714,0.041,64, AMO Noilers (Commercial Dual-Purpose Day Old Chicks),
CUS_TEST_0287,96,223.85,108,0.178,31, Day-Old ZARTECH Broilers (Cobb 500) - One Carton,
CUS_TEST_0288,214,336.72,651,0.024,47, African Giant Snails and Snail Farming (Volumes 1 and 2),
CUS_TEST_0289,294,56.22,1270,0.002,2, Agrited Broiler ,
CUS_TEST_0290,209,376.52,976,0.101,96, Agrited Broiler ,
CUS_TEST_0291,343,408.23,387,0.117,82, Agrited Broiler ,
CUS_TEST_0292,88,356.35,647,0.116,77, Day-Old ZARTECH Broilers (Cobb 500),
CUS_TEST_0293,306,483.96,536,0.012,69, Day-Old AMO Pullets (ISA Brown ,
CUS_TEST_0294,264,415.06,1612,0.063,58, Vertex Broiler ,
CUS_TEST_0295,325,452.52,1234,0.1,44, Vertex Broiler ,
